index,title,href,body,date
40,"Budiyanto EP on Twitter: ""RT @abu_waras: Saya atas nama Pribadi, Sangat ...",https://twitter.com/BudiyantoEp/status/1613123786118950918,"RT @abu_waras: Saya atas nama Pribadi, Sangat Mendukung Ibu Mega Sebagai Capres 2024, Sebab Ciri-ciri Seorang Pemimpin ada pada beliau. Semoga Kader-Kader dan Fungsionaris PDIP Bersepakat untuk memilih dan menetapkan Ibu Megawati Soekarno Puteri sebagai Capres 2024. 11 Jan 2023 10:40:55",1/11/2023
41,"Lambe Waras on Twitter: ""Saya atas nama Pribadi, Sangat Mendukung Ibu ...",https://twitter.com/abu_waras/status/1613109236111638528,"Saya atas nama Pribadi, Sangat Mendukung Ibu Mega Sebagai Capres 2024, Sebab Ciri-ciri Seorang Pemimpin ada pada beliau. Semoga Kader-Kader dan Fungsionaris PDIP Bersepakat untuk memilih dan menetapkan Ibu Megawati Soekarno Puteri sebagai Capres 2024. 11 Jan 2023 09:43:06",1/11/2023
42,Dwi Virgina (@dwi_virgina) / Twitter,https://twitter.com/dwi_virgina,🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 🇮🇩 Indonesia Raya 🇮🇩 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 ...,1/11/2023
43,"Pengarang Puisi™ on Twitter: ""Ga ada masalah Ganjar dijagokan.. Yang ...",https://twitter.com/pengarang_sajak/status/1613122643523436544,Ga ada masalah Ganjar dijagokan.. Yang masalah itu dikatakan mirip Jokowi tapi ga bs menjabarkan.. Miripnya dimana..? Buat gue jauh.. Jokowi berani push Freeport.. Ganjar..? Bebasin tambang illegal dulu deh secepatnya buat masyarkat.. Kan cari pemimpin harus logis.. 11 Jan 2023 10:36:23,1/11/2023
44,"KITA Dukung Pakde Jokowi sampai 2024💪 on Twitter: ""Bu Mega, Pak ...",https://twitter.com/Sherin_Tiara/status/1613125725036638209,"Bu Mega, Pak @ganjarpranowo sdh ngelakuin itu smua sblm Bu Mega bahas ini, krna memang benar sprti yg Ibu Mega katakan, Pemimpin yg baik hrs terjun ke lapangan Langsung, menginap di desa agar tahu permasalahan detail setiap desa/ akar rumput apa saja. Pak Ganjar Joss👍 #GANTARI🇲🇨 . 11 Jan 2023 10:48:37",1/11/2023
45,"portal informasi 2 on Twitter: ""Ini baru namanya pemimpin sejati! dia ...",https://twitter.com/2_informasi/status/1613392438961516544,"Ini baru namanya pemimpin sejati! dia akan tetap memperhatikan kesejahteraan rakyatnya, di manapun mereka berada! Pak Ganjar untuk Indonesia !! 🔥🔥 Blacklist | Riska | PDIP | #BABYMONSTER_HARAM | Lawan 10 | WELCOME BABYMONSTER HARAM | Nabrak | #anisd | Biawak | Deglo . 12 Jan 2023 04:28:27",1/12/2023
46,Dwi Virgina (@dwi_virgina) / Twitter,https://twitter.com/dwi_virgina,🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 🇮🇩 Indonesia Raya 🇮🇩 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 ...,1/12/2023
47,"on Twitter: ""Ganjar sudah kerahkan pendukungnya buat serang Megawati ...",https://twitter.com/ekowboy2/status/1613523948251279360,"Ganjar sudah kerahkan pendukungnya buat serang Megawati & PDIP.. Minim prestasi, gagal atasi kemiskinan & banjir.. emang gak layak dicapreskan, siap2 kecewa ya zer!! Translate Tweet. 1:17. 42.3K views. 1:11 PM · Jan 12, 2023 ... Ganjar sudah kerahkan pendukungnya buat serang Megawati & PDIP.. Minim prestasi, gagal atasi kemiskinan & banjir ...",1/12/2023
48,"Dari kemarin, mikir kenapa wajah Ganjar lesu dalam acara HUT PDIP ...",https://twitter.com/hipohan/status/1613667637896314880,"Dari kemarin, mikir kenapa wajah Ganjar lesu dalam acara HUT PDIP, tadinya saya kira karena Mega tidak 1x pun sebut namanya meski orasi 2 jam, eh ternyata krn tidak dapat nasi 😴 Translate Tweet 10:42 PM · Jan 12, 2023",1/12/2023
49,"on Twitter: ""Perang terbuka Mega VS Ganjar.. Jelas sekali siapa yg ...",https://twitter.com/ekowboy2/status/1613400109680857090,"Perang terbuka Mega VS Ganjar.. Jelas sekali siapa yg dimaksud dalam pidato ketum PDIP tapi GP melawan seolah dapat dukungan kader, jangan dipisah gaes!! Translate Tweet. 0:25. 9.7K views. 0:25. 2.8K views. 4:58 AM · Jan 12, 2023. 17.9K. ... Puan cocok capres dr pdip. 1. 1. 2. Fredy Gunawan",1/12/2023
50,"Pace Julvri on Twitter: ""Ganjar seorang pemimpin visioner # ...",https://twitter.com/PJulvri/status/1613805539745763328,Ganjar seorang pemimpin visioner #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab . 13 Jan 2023 07:49:58,1/13/2023
51,"SAGA Jatim on Twitter: ""Ini baru pemimpin, sangat peduli dengan ...",https://twitter.com/SAGA__Jatim/status/1613785647277576192,"Ini baru pemimpin, sangat peduli dengan rakyatnya yang butuh bantuan #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab . 13 Jan 2023 06:30:55",1/13/2023
52,Ganjar Respons Megawati Beri Sinyal Dukung Puan Capres ... - Twitter,https://twitter.com/CNNIndonesia/status/1613751506045636610,Ganjar Respons Megawati Beri Sinyal Dukung Puan Capres: Otoritas Ketum. 13 Jan 2023 04:15:15,1/13/2023
53,Seluruh Papua dan Papua barat. Ingat PDIP adalah yg banyak ...,https://twitter.com/papuamuslim95/status/1614036921222844416,"""Seluruh Papua dan Papua barat. Ingat PDIP adalah yg banyak mengintimidasi rakyat Papua. Memiskinorg Papua bahkan membunuh para pemimpin dan rakyat Papua. Makanya,satukan bahasa kita boikot PDIP agar Indonesia aman dan damai.""",1/13/2023
54,"Ganjar Bersama Indonesia on Twitter: ""Ganjar Pranowo mendapat angka ...",https://twitter.com/gpbersamaind0/status/1614060120685817856,"""Ganjar Pranowo mendapat angka elektabilitas tertinggi untuk Pilpres 2024 di kalangan masyarakat Kota Surabaya. #AllegriOut #MalaysiaOpen2023 #생일축하해김카이 Di Maria Donny Liga 2 Miss Universe Live Chat Mega Napoli""",1/14/2023
55,"Puan Sebut Tak Masalah Dirinya Tidak Jadi Capres, Pengamat ... - Twitter",https://twitter.com/democrazymedia/status/1614544290180366338,"Puan Sebut Tak Masalah Dirinya Tidak Jadi Capres, Pengamat: Sedang Merendah untuk Naikkan Elektabilitas. 15 Jan 2023 08:45:30",1/15/2023
56,"Indah Begitu Indah on Twitter: ""Pemimpin yg baik itu yg bisa memimpin ...",https://twitter.com/TracyPedas/status/1614610374359416835,Pemimpin yg baik itu yg bisa memimpin & punya Program2 yg baik untk kebaikan& kesejahteraan warganya sprti Gubernur Jateng Pak @ganjarpranowo Beliau sukses turunkan inflasi & berhasil stabilkan harga pangan di Jateng berkat program2 Pak Ganjar & jajarannya yg mantul👍 #GANTARI 🇲🇨 . 15 Jan 2023 13:08:05,1/15/2023
57,"Wati on Twitter: ""Pak Ganjar memang pemimpin terbaik. #ganjarpranowo # ...",https://twitter.com/Nona_Watimuri/status/1614721961544028160,Pak Ganjar memang pemimpin terbaik. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab . 15 Jan 2023 20:31:30,1/15/2023
58,"Mangun Karso on Twitter: ""hormati tuan rumah adalah sikap seorang ...",https://twitter.com/Mangun666/status/1614632545119002624,"hormati tuan rumah adalah sikap seorang pemimpin yang baik. Congorku mingkem.. harus menahan ketawa, bagaimana kadrun sedang mempromosikan Ganjar. Dan itulah contoh yang baik sebagai tamu. Sikap Tamu Kurang Ajar, pasti melecehkan tuan rumah. Kalo mau kritik. Pakai OTAK, ya drun . 15 Jan 2023 14:36:11",1/15/2023
59,"Sahabat Ganjar - Official on Twitter: ""Gubernur Ganjar Pranowo ...",https://twitter.com/sahabatganjar/status/1614969545848156170,"Sahabat Ganjar - Official. @sahabatganjar. Gubernur Ganjar Pranowo menyampaikan apresiasi kepada umat Kristiani, yang terus melakukan aksi konkret dan membantu Pemerintah Jawa Tengah dalam segala situasi. Seperti, kesediaan membantu dan menyiapkan rumah ibadah untuk jadi tempat pengungsian korban banjir.",1/16/2023
60,"Ganjar Pranowo for RI 1 2024 on Twitter: ""Ganjar Pranowo pemimpin masa ...",https://twitter.com/ganjarri2024/status/1615238929388797952,"""Ganjar Pranowo pemimpin masa depan #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab""",1/17/2023
