index,title,href,body,date
57,orangmudaganjar.kalteng on Instagram: Jangan ragu memilih sosok ...,https://www.instagram.com/p/CoZqOuRgAUz/,orangmudaganjar.kalteng • Original audio,2/8/2023
58,"Ganjar Pranowo on Instagram: ""Saya dan Pak Bas lagi mikir keras nyari ...",https://www.instagram.com/p/CobpohSyxCU/,"78.2k Likes, 2,877 Comments - Ganjar Pranowo (@ganjar_pranowo) on Instagram: ""Saya dan Pak Bas lagi mikir keras nyari nama komunitas rambut putih nasional. Tolong bantu usulan…""",2/8/2023
59,"Ganjar Pranowo on Instagram: ""Saya dan Pak Bas lagi mikir keras nyari ...",https://www.instagram.com/p/CobpohSyxCU/,"78.2k Likes, 2,877 Comments - Ganjar Pranowo (@ganjar_pranowo) on Instagram: ""Saya dan Pak Bas lagi mikir keras nyari nama komunitas rambut putih nasional. Tolong bantu usulan…""",2/9/2023
60,sorotan_ganjar on Instagram: Ini baru pemimpin yg luar biasa~! Tegas!💪,https://www.instagram.com/p/CogW26-p_17/,"Rizky Febian, Ziva Magnolya • Terlukis Indah | jupiter Effect",2/10/2023
61,sorotan_ganjar on Instagram: Ini baru pemimpin yg luar biasa~! Tegas!💪,https://www.instagram.com/p/CogW26-p_17/,"Rizky Febian, Ziva Magnolya • Terlukis Indah | jupiter Effect",2/11/2023
62,pinterpolitik - Instagram,https://www.instagram.com/p/CotbGMSPnZg/,"Posisi pertama diduduki oleh Ridwan Kamil (RK) dengan 19,9 juta pengikut, selanjutnya disusul oleh Sandiaga Uno dengan 9 juta pengikut, Anies Baswedan 5,8 juta pengikut, dan Ganjar Pranowo 5,4 juta pengikut. Untuk selengkapnya, baca artikelnya melalui link di Bio, IG Story dan Highlights. Share your thoughts di kolom komentar juga ya! 🏼️",2/15/2023
63,"PinterPolitik.com on Instagram: ""Para kandidat potensial calon presiden ...",https://www.instagram.com/p/CotbGMSPnZg/,"Para kandidat potensial calon presiden (capres) 2024 seperti Anies Baswedan, Sandiaga Uno, Ridwan Kamil (RK), Prabowo Subianto, dan Ganjar Pranowo terlihat ""narsis"" di media sosial (medsos). Namun, jika dilihat-lihat, Prabowo memiliki gaya ""narsis"" yang sangat berbeda dibandingkan kandidat lainnya.",2/16/2023
64,ganjar_pranowo on Instagram: Pertunjukan yang sangat menghibur ...,https://www.instagram.com/p/CowMFpRMC9e/,ganjar_pranowo • Original audio,2/16/2023
65,"Lombok Political Research on Instagram: ""Calon presiden yang memiliki ...",https://www.instagram.com/p/Cowtxmwhc-i/,"29 Likes, 1 Comments - Lombok Political Research (@makara.strategi) on Instagram: ""Calon presiden yang memiliki elektabilitas tinggi yaitu Ganjar Pranowo berasal dari PDIP, maka…""",2/16/2023
66,ganjar_pranowo on Instagram: Dari Gang Lawang Seketeng menuju Peneleh ...,https://www.instagram.com/p/Cozo1aZpQgZ/,"Dari Gang Lawang Seketeng menuju Peneleh Gang VII ada berjuta cerita tentang bagaimana Indonesia akhirnya menjadi sebuah negara. Di kediaman Sang Raja Tanpa Mahkota, Haji Oemar Said Cokroaminoto ini beberapa pemikir inti pendirian Republik menempa pikiran dan hati. Mungkin inilah kos-kosan paling hebat di negara kita.",2/17/2023
67,ganjar_pranowo on Instagram: Pertunjukan yang sangat menghibur ...,https://www.instagram.com/p/CowMFpRMC9e/,ganjar_pranowo • Original audio,2/17/2023
68,"Lombok Political Research on Instagram: ""Calon presiden yang memiliki ...",https://www.instagram.com/p/Cowtxmwhc-i/,"29 Likes, 1 Comments - Lombok Political Research (@makara.strategi) on Instagram: ""Calon presiden yang memiliki elektabilitas tinggi yaitu Ganjar Pranowo berasal dari PDIP, maka…""",2/17/2023
69,ganjar_pranowo on Instagram: Dari Gang Lawang Seketeng menuju Peneleh ...,https://www.instagram.com/p/Cozo1aZpQgZ/,"Dari Gang Lawang Seketeng menuju Peneleh Gang VII ada berjuta cerita tentang bagaimana Indonesia akhirnya menjadi sebuah negara. Di kediaman Sang Raja Tanpa Mahkota, Haji Oemar Said Cokroaminoto ini beberapa pemikir inti pendirian Republik menempa pikiran dan hati. Mungkin inilah kos-kosan paling hebat di negara kita.",2/18/2023
70,"Ganjar Pranowo on Instagram: ""Di Jawa Tengah, kopi bukan hanya di ...",https://www.instagram.com/p/Co0tqrdyj9z/,"Di Jawa Tengah, kopi bukan hanya di Temanggung. Di Indonesia juga bukan hanya Aceh, Bali, Toraja, Flores. Banyak daerah-daerah lain yang punya kopi tidak kalah enaknya. Untuk yang punya produk kopi, silakan bisa ikut #LapakGanjar edisi kali ini. Posting produkmu di feed Instagram dengan syarat sesuai poster. Tag @ganjar_pranowo dan @lapak_ganjar.",2/18/2023
71,"SAHABAT GANJAR on Instagram: ""Gubernur Jawa Tengah Ganjar Pranowo ...",https://www.instagram.com/p/CpSbm_6JxGf/,"-1 Likes, 1 Comments - SAHABAT GANJAR (@sahabatganjar2024) on Instagram: ""Gubernur Jawa Tengah Ganjar Pranowo mengajak Forum OSIS Jawa Tengah mengikuti Musyawarah…""",3/1/2023
72,"Ganjar Maju Bersama Indonesia on Instagram: """"Tetap Ganjar yang menang ...",https://www.instagram.com/p/CpRTRRpJTsZ/,"120 Likes, 8 Comments - Ganjar Maju Bersama Indonesia (@ganjarmajubersamaindonesia) on Instagram: """"Tetap Ganjar yang menang. Dan, angkanya cukup tinggi,"" #ganjar #indonesia #ganjarpranowo…""",3/1/2023
73,"SAHABAT GANJAR on Instagram: ""KOMPETISI KEWIRAUSAHAAN GANJAR PRANOWO ...",https://www.instagram.com/p/CpUEIRkr4Rx/,"267 Likes, 12 Comments - SAHABAT GANJAR (@sahabatganjar2024) on Instagram: ""KOMPETISI KEWIRAUSAHAAN GANJAR PRANOWO !!! Dalam rangka ""Pembentukan Karakter Generasi Muda Dalam…""",3/2/2023
74,"SAHABAT GANJAR on Instagram: ""Gubernur Jawa Tengah Ganjar Pranowo ...",https://www.instagram.com/p/CpSbm_6JxGf/,"-1 Likes, 1 Comments - SAHABAT GANJAR (@sahabatganjar2024) on Instagram: ""Gubernur Jawa Tengah Ganjar Pranowo mengajak Forum OSIS Jawa Tengah mengikuti Musyawarah…""",3/2/2023
75,"Ganjar Maju Bersama Indonesia on Instagram: """"Tetap Ganjar yang menang ...",https://www.instagram.com/p/CpRTRRpJTsZ/,"120 Likes, 8 Comments - Ganjar Maju Bersama Indonesia (@ganjarmajubersamaindonesia) on Instagram: """"Tetap Ganjar yang menang. Dan, angkanya cukup tinggi,"" #ganjar #indonesia #ganjarpranowo…""",3/2/2023
76,"SAHABAT GANJAR on Instagram: ""KOMPETISI KEWIRAUSAHAAN GANJAR PRANOWO ...",https://www.instagram.com/p/CpUEIRkr4Rx/,"267 Likes, 12 Comments - SAHABAT GANJAR (@sahabatganjar2024) on Instagram: ""KOMPETISI KEWIRAUSAHAAN GANJAR PRANOWO !!! Dalam rangka ""Pembentukan Karakter Generasi Muda Dalam…""",3/3/2023
77,"SAHABAT GANJAR on Instagram: ""Bersama generasi muda, Sahabat Ganjar ...",https://www.instagram.com/p/CpXoQdAgNhz/,Omusku • Cinta Ini Milik Kita Dangdut Koplo,3/3/2023
78,"SAHABAT GANJAR on Instagram: ""Halo warga Kabupaten Kuningan! Mendekati ...",https://www.instagram.com/p/CpXYqVYgBMd/,"SAHABAT GANJAR (@sahabatganjar2024) on Instagram: ""Halo warga Kabupaten Kuningan! Mendekati tahun 2024, doa dan harapan yang disuarakan oleh masyar..."" SAHABAT GANJAR on Instagram: ""Halo warga Kabupaten Kuningan!",3/3/2023
